a,b,c,d,e,f,g,h,i,j,target
5.59,27000,0,0,0,1,1,0,0,1,3.35
9.54,43000,0,0,1,0,1,0,0,1,4.75
9.85,6900,0,0,0,1,1,0,0,1,7.25
4.15,5200,0,0,0,1,1,0,0,1,2.85
6.87,42450,0,0,1,0,1,0,0,1,4.6
9.83,2071,0,0,1,0,1,0,0,1,9.25
8.12,18796,0,0,0,1,1,0,0,1,6.75
8.61,33429,0,0,1,0,1,0,0,1,6.5
8.89,20273,0,0,1,0,1,0,0,1,8.75
8.92,42367,0,0,1,0,1,0,0,1,7.45
3.6,2135,0,0,0,1,1,0,0,1,2.85
10.38,51000,0,0,1,0,1,0,0,1,6.85
9.94,15000,0,0,0,1,1,0,1,0,7.5
7.71,26000,0,0,0,1,1,0,0,1,6.1
7.21,77427,0,0,0,1,1,0,0,1,2.25
10.79,43000,0,0,1,0,1,0,0,1,7.75
10.79,41678,0,0,1,0,1,0,0,1,7.25
10.79,43000,0,0,1,0,1,0,0,1,7.75
5.09,35500,0,1,0,0,1,0,0,1,3.25
7.98,41442,0,0,0,1,1,0,0,1,2.65
3.95,25000,0,0,0,1,1,0,0,1,2.85
5.71,2400,0,0,0,1,1,0,0,1,4.9
8.01,50000,0,0,0,1,1,0,1,0,4.4
3.46,45280,0,0,0,1,1,0,0,1,2.5
4.41,56879,0,0,0,1,1,0,0,1,2.9
4.99,20000,0,0,0,1,1,0,0,1,3
5.87,55138,0,0,0,1,1,0,0,1,4.15
6.49,16200,0,0,0,1,0,1,0,1,6
3.95,44542,0,0,0,1,1,0,0,1,1.95
10.38,45000,0,0,1,0,1,0,0,1,7.45
5.98,51439,0,0,1,0,1,0,0,1,3.1
4.89,54200,0,0,0,1,1,0,0,1,2.35
7.49,39000,0,0,1,0,1,0,0,1,4.95
9.95,45000,0,0,1,0,1,0,0,1,6
8.06,45000,0,0,1,0,1,0,0,1,5.5
7.74,49998,0,1,0,0,1,0,0,1,2.95
7.2,48767,0,0,0,1,1,0,0,1,4.65
2.28,127000,0,0,0,1,0,1,0,1,0.35
3.76,10079,0,0,0,1,1,0,0,1,3
7.98,62000,0,0,0,1,1,0,0,1,2.25
7.87,24524,0,0,0,1,1,0,1,0,5.85
3.98,46706,0,0,0,1,1,0,0,1,2.55
7.15,58000,0,0,0,1,1,0,0,1,1.95
8.06,45780,0,0,1,0,1,0,0,1,5.5
2.69,50000,0,0,0,1,1,0,0,1,1.25
12.04,15000,0,0,0,1,1,0,1,0,7.5
4.89,64532,0,0,0,1,1,0,0,1,2.65
4.15,65000,0,0,0,1,1,0,0,1,1.05
7.71,25870,0,0,0,1,1,0,0,1,5.8
9.29,37000,0,0,0,1,1,0,1,0,7.75
30.61,104707,0,0,1,0,1,0,1,0,14.9
30.61,40000,0,0,1,0,1,0,1,0,23
19.77,15000,0,0,1,0,1,0,1,0,18
30.61,135000,0,0,1,0,0,1,1,0,16
10.21,90000,0,0,0,1,0,1,0,1,2.75
15.04,70000,0,0,0,1,1,0,1,0,3.6
7.27,40534,0,0,0,1,1,0,0,1,4.5
18.54,50000,0,0,0,1,1,0,0,1,4.75
6.8,39485,1,0,0,1,1,0,0,1,4.1
35.96,41000,0,0,1,0,1,0,1,0,19.99
18.61,40001,0,0,0,1,1,0,0,1,6.95
7.7,40588,0,0,0,1,1,0,0,1,4.5
35.96,78000,0,0,1,0,1,0,1,0,18.75
35.96,47000,0,0,1,0,1,0,1,0,23.5
36.23,6000,0,0,1,0,1,0,1,0,33
6.95,45000,0,0,1,0,1,0,0,1,4.75
23.15,11000,0,0,0,1,1,0,1,0,19.75
20.45,59000,0,0,1,0,1,0,0,1,9.25
13.74,88000,0,0,0,1,1,0,0,1,4.35
20.91,12000,0,0,0,1,1,0,0,1,14.25
6.76,71000,0,0,1,0,1,0,0,1,3.95
12.48,45000,0,0,1,0,1,0,0,1,4.5
18.61,56001,0,0,0,1,1,0,0,1,7.45
5.71,43000,0,0,0,1,1,0,0,1,2.65
8.93,83000,0,0,1,0,1,0,0,1,4.9
6.8,36000,0,0,0,1,1,0,0,1,3.95
14.68,72000,0,0,0,1,1,0,0,1,5.5
12.35,135154,0,0,0,1,1,0,1,0,1.5
22.83,80000,0,0,0,1,1,0,1,0,5.25
30.61,89000,0,0,1,0,1,0,1,0,14.5
14.89,23000,0,0,1,0,1,0,0,1,14.73
7.85,40000,0,0,1,0,1,0,0,1,4.75
25.39,15000,0,0,1,0,1,0,1,0,23
13.46,38000,0,0,1,0,1,0,0,1,12.5
