target,a,b,c,d,e,f
12,-20,1,1028,274.92,0,0
14,-19,0,1029,278.94,0,0
10,-18,0,1030,282.96,0,0
7,-18,-1,1030,286.98,0,0
8,-19,-2,1031,294.13,0,0
6,-19,-3,1032,302.18,0,0
4,-19,-3,1032,312.01,0,0
4,-20,-3,1032,321.84,0,0
7,-20,-4,1032,329.89,0,0
6,-20,-4,1032,339.72,0,0
8,-20,-4,1032,349.55,0,0
7,-20,-5,1031,355.36,0,0
6,-19,-5,1031,360.28,0,0
9,-20,-5,1030,365.2,0,0
9,-19,-5,1030,369.22,0,0
9,-19,-5,1030,372.35,0,0
8,-19,-3,1030,375.48,0,0
11,-20,-2,1030,381.29,0,0
17,-19,-1,1029,388.44,0,0
21,-19,0,1027,396.49,0,0
12,-18,1,1026,406.32,0,0
20,-18,2,1025,416.15,0,0
15,-18,2,1025,425.09,0,0
13,-17,2,1024,433.14,0,0
14,-17,2,1024,437.16,0,0
20,-17,1,1024,441.18,0,0
32,-19,1,1024,4.92,0,0
33,-19,0,1024,8.05,0,0
46,-17,-2,1023,9.84,0,0
53,-16,-1,1023,11.63,0,0
64,-15,-3,1023,0.89,0,0
53,-16,-4,1023,1.78,0,0
72,-16,-5,1023,2.67,0,0
85,-15,-7,1023,3.56,0,0
95,-14,-6,1024,4.45,0,0
98,-15,-8,1024,5.34,0,0
105,-14,-9,1024,3.13,0,0
117,-13,-6,1024,3.13,0,0
117,-13,-8,1024,1.79,0,0
126,-13,-8,1025,3.58,0,0
145,-13,-4,1026,5.37,0,0
136,-13,1,1026,3.13,0,0
95,-13,4,1025,0.89,0,0
80,-13,6,1024,1.78,0,0
51,-14,8,1023,3.57,0,0
67,-14,9,1022,3.13,0,0
71,-14,9,1022,7.15,0,0
63,-14,8,1022,10.28,0,0
80,-13,7,1022,13.41,0,0
75,-13,6,1022,17.43,0,0
87,-12,2,1022,0.89,0,0
105,-12,-1,1022,1.79,0,0
125,-12,-4,1022,0.89,0,0
115,-11,-4,1023,1.78,0,0
123,-11,-4,1023,2.67,0,0
142,-12,-5,1022,0.89,0,0
178,-12,-6,1022,1.78,0,0
163,-11,-5,1022,3.57,0,0
162,-12,-7,1022,3.13,0,0
145,-12,-7,1021,4.92,0,0
114,-13,-7,1021,6.71,0,0
84,-12,-5,1021,7.6,0,0
102,-12,-8,1021,9.39,0,0
82,-12,-6,1021,12.52,0,0
88,-10,-3,1021,14.31,0,0
90,-12,0,1021,16.1,0,0
88,-11,4,1021,19.23,0,0
95,-13,6,1020,21.02,0,0
81,-14,9,1019,24.15,0,0
89,-15,9,1018,25.94,0,0
95,-18,11,1018,29.96,0,0
57,-16,8,1019,31.75,0,0
62,-14,4,1019,0.89,0,0
234,-14,2,1020,0.89,0,0
118,-14,2,1021,1.79,0,0
108,-16,5,1022,5.81,0,0
33,-14,-2,1022,7.6,0,0
21,-13,-1,1023,11.62,0,0
14,-14,-2,1024,1.79,0,0
13,-15,2,1025,0.89,0,0
9,-14,-3,1026,3.13,0,0
10,-16,0,1027,7.15,0,0
11,-14,-5,1028,11.17,0,0
9,-15,-3,1029,15.19,0,0
15,-14,-5,1030,20.11,0,0
13,-14,-5,1031,24.13,0,0
12,-15,-6,1032,27.26,0,0
11,-13,-2,1033,29.05,0,0
18,-14,0,1033,1.79,0,0
17,-14,1,1034,6.71,0,0
11,-15,3,1034,11.63,0,0
12,-15,4,1034,4.92,0,0
14,-15,5,1033,12.07,0,0
14,-15,5,1032,17.88,0,0
12,-15,5,1032,25.03,0,0
16,-15,5,1032,30.84,0,0
16,-14,4,1032,37.99,0,0
12,-14,3,1032,45.14,0,0
20,-14,3,1033,50.06,0,0
23,-14,2,1033,54.98,0,0
16,-14,3,1033,59.9,0,0
17,-14,2,1034,65.71,0,0
18,-14,2,1034,70.63,0,0
20,-14,2,1033,75.55,0,0
22,-14,1,1033,79.57,0,0
22,-14,1,1034,84.49,0,0
10,-13,-3,1034,88.51,0,0
14,-14,-3,1034,91.64,0,0
14,-14,-7,1034,94.77,0,0
18,-13,-5,1034,1.79,0,0
13,-13,-3,1034,3.58,0,0
18,-13,-3,1034,6.71,0,0
27,-14,0,1035,10.73,0,0
38,-14,2,1035,13.86,0,0
25,-14,5,1035,4.02,0,0
16,-13,7,1033,7.15,0,0
16,-14,7,1032,10.28,0,0
9,-14,6,1031,1.79,0,0
8,-14,6,1031,3.58,0,0
18,-14,5,1031,1.79,0,0
31,-13,3,1032,0.89,0,0
38,-13,-1,1032,1.78,0,0
49,-11,-1,1032,2.67,0,0
52,-11,-2,1032,1.79,0,0
50,-11,0,1033,0.89,0,0
51,-12,-3,1033,0.89,0,0
69,-11,-2,1033,2.68,0,0
93,-11,-3,1033,4.47,0,0
94,-11,-3,1034,0.89,0,0
147,-10,-4,1034,1.78,0,0
226,-10,-3,1033,0.89,0,0
179,-11,-6,1033,0.89,0,0
153,-11,-7,1032,1.78,0,0
133,-11,-7,1032,2.67,0,0
127,-11,-6,1032,4.46,0,0
119,-11,-6,1033,0.45,0,0
111,-9,-4,1033,0.89,0,0
118,-9,-2,1033,1.78,0,0
116,-8,-1,1033,1.79,0,0
131,-9,0,1032,0.89,0,0
152,-9,2,1031,1.78,0,0
163,-9,2,1030,2.67,0,0
171,-9,2,1030,3.56,0,0
198,-9,2,1030,4.45,0,0
234,-9,-1,1030,4.9,0,0
260,-8,-3,1030,0.89,0,0
271,-9,-3,1031,0.89,0,0
244,-8,-3,1031,1.79,0,0
242,-9,-4,1031,0.89,0,0
210,-9,-4,1030,1.34,0,0
194,-10,-5,1030,2.23,0,0
163,-10,-5,1030,1.79,0,0
194,-10,-5,1030,3.58,0,0
187,-10,-5,1030,5.37,0,0
216,-11,-6,1030,7.16,0,0
225,-11,-6,1030,8.95,0,0
199,-11,-7,1029,10.74,0,0
207,-10,-7,1029,12.53,0,0
227,-10,-6,1029,13.42,0,0
259,-11,-7,1029,16.55,0,0
182,-9,-3,1030,19.68,0,0
185,-9,-2,1030,22.81,0,0
191,-10,1,1030,25.94,0,0
